Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0 | Enable=0 | BuzzerOut=x
Time=48353308000 | Enable=1 | BuzzerOut=0
Time=48553115000 | Enable=1 | BuzzerOut=1
Time=48752922000 | Enable=1 | BuzzerOut=0
Time=48952728000 | Enable=1 | BuzzerOut=1
Time=49152535000 | Enable=1 | BuzzerOut=0
Time=49352342000 | Enable=1 | BuzzerOut=1
Time=49552148000 | Enable=1 | BuzzerOut=0
Time=49751955000 | Enable=1 | BuzzerOut=1
Time=49951762000 | Enable=1 | BuzzerOut=0
Time=50151568000 | Enable=1 | BuzzerOut=1
Time=50351375000 | Enable=1 | BuzzerOut=0
